userProvince,name,prosize_col,level,mobile,commtime,comments
浙江,y***g,加大号XL128片,金牌会员, ,2015-04-19 22:11:52,非常满意，买了好几次了
安徽,啊JO,中号M192片,铜牌会员,来自京东iPad客户端,2015-04-20 04:18:50,包装完整，看上去不错。还没有用，先囤着。京东快递很给力，快递师傅人特别好，100个赞。
广东,L***静,小号S152片,钻石会员,来自京东Android客户端,2015-04-17 08:15:17,正品，很优惠！下次继续买！！！
山西,慢***鼠,加大号XL72片,钻石会员,来自京东Android客户端,2015-04-07 18:35:55,挺好！现在帮宝适做工比以前好，漏吸水颗粒的情况不多了！
广东,S***e,大号L84片,钻石会员,来自京东Android客户端,2015-03-15 22:54:37,湿纸巾赠品不错！但拉拉裤比起妈咪宝贝小内裤容量和防漏确实有差距。依旧给好评吧&hellip;&hellip;
吉林,小猪宝贝0646,加大号XL128片,银牌会员,来自京东Android客户端,2014-11-26 10:34:06,买过好多次了，一直就是这个牌子
,张丽601,加大号XL128片,铜牌会员,来自微信购物,2014-12-05 13:19:05,挺好用的。
,g***5,加大号XL128片,金牌会员,来自京东Android客户端,2015-01-20 18:59:54,正品，宝贝一直在用，很柔软，宝宝没有不适感。
辽宁,l***8,绿帮加大号XL128片,钻石会员, ,2016-06-15 10:57:29,东西很好用和在超市买的一样好，很愉快的一次网购。
辽宁,l***8,绿帮中号M192片,钻石会员, ,2016-06-15 17:13:29,给宝宝用过才来评价的。不侧漏，屁屁也干爽
,J***z,干爽拉拉裤加大码XL72片,银牌会员,来自微信购物,2016-07-02 12:54:47,很失望，比想像的还要差，便宜没好货
上海,s***k,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-06-10 23:30:30,网络版的便宜但是会漏啊
,j***h,绿帮大号L164片,铜牌会员,来自京东iPhone客户端,2016-06-20 16:37:48,好，．
广东,文***瓜,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-14 23:08:02,好
广东,j***b,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-05-25 22:57:30,不错 正品
广东,H***猬,绿帮新生儿NB96片,金牌会员,来自京东Android客户端,2016-06-18 13:38:07,还不错，一次就囤了好多包。
广东,H***猬,绿帮小号S164片,金牌会员,来自京东Android客户端,2016-06-18 13:38:07,还不错，一次就囤了好多包。
,j***h,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-04 20:13:05,比棉柔的小一点点，厚度和棉柔的差不多，凑合用吧！
陕西,a***1,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-09 14:51:42,儿子一直用帮宝适的，吸水性好，只是怎么用了一会孩子会抓，上面就有一层丝在手上。
广东,a***0,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-07-02 12:14:30,东西还不错，凑够十个字！
福建,x***子,干爽拉拉裤中码M94片,银牌会员,来自京东Android客户端,2016-06-21 13:55:04,买小了，只能送人，不然穿起来还行
广东,j***3,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-05-04 15:17:27,啊哈哈摸摸哦哦弄
,7***6,绿帮中号M192片,银牌会员,来自京东iPhone客户端,2016-05-22 13:47:40,一直用有用帮宝适，但是干爽系列没有特级棉柔好用？
,q***l,绿帮小号S164片,铜牌会员,来自微信购物,2016-05-21 09:26:23,很划算，东西很好
,邱***显,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-04 22:50:39,小孩一直都在用，还不错
,j***f,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-04 14:00:00,大品牌  很好  一直在用
河南,j***9,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-06-10 10:14:37,是正品，宝宝用着不红屁股
重庆,z***3,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-06-13 08:48:43,宝贝一直用的这款，实惠，比实体店划算。物流也非常的快。好评！
广东,l***0,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-02 16:55:19,不错
,j***s,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 18:20:02,还是在京东上买便宜，质量有保证，物流更是不用说了。
广东,j***3,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-05-04 15:17:27,啊哈哈摸摸哦哦弄
,7***6,绿帮中号M192片,银牌会员,来自京东iPhone客户端,2016-05-22 13:47:40,一直用有用帮宝适，但是干爽系列没有特级棉柔好用？
,q***l,绿帮小号S164片,铜牌会员,来自微信购物,2016-05-21 09:26:23,很划算，东西很好
,邱***显,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-04 22:50:39,小孩一直都在用，还不错
,j***f,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-04 14:00:00,大品牌  很好  一直在用
河南,j***9,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-06-10 10:14:37,是正品，宝宝用着不红屁股
重庆,z***3,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-06-13 08:48:43,宝贝一直用的这款，实惠，比实体店划算。物流也非常的快。好评！
广东,l***0,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-02 16:55:19,不错
,j***s,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 18:20:02,还是在京东上买便宜，质量有保证，物流更是不用说了。
,j***d,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-07-03 08:31:05,还不错  和我以前在超市买的一样  用了小屁屁没有红 下次还来
,r***6,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-08 13:24:31,吸收效果好
北京,梁***1,干爽拉拉裤加大码XL72片,银牌会员,来自微信购物,2016-05-06 10:05:58,物美价廉，好
,M***e,绿帮中号M192片,铜牌会员,来自手机QQ购物,2016-06-12 17:09:07,好，还会再来买
,方***儿,绿帮大号L164片,银牌会员, ,2016-06-10 10:30:52,一直在用这个，比街上的店钱买的好多了。
,兵***人,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-07-06 08:43:36,快递好快
,w***9,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-08 12:30:10,超薄、干爽
广东,w***5,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-16 15:57:57,每次都在京东买的，质量放心，价格也实惠！又快用完了，再买
,j***d,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 08:59:55,一直用这种，超实惠！
北京,n***u,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-19 21:37:44,宝宝一直用帮宝适，经济实惠，质量也很好，值得推荐
广东,j***n,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-10 16:37:04,还用设，一直相信京东，多快好省。
,狼***狗,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-08 12:07:55,干爽、贴合
福建,垚很崇拜老婆,干爽拉拉裤加大码XL72片,金牌会员,来自京东iPad客户端,2016-06-18 00:19:12,这个裤裤也买了十几箱了，好用的哈
北京,s***8,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-17 12:52:06,一直买的 挺好
,j***5,绿帮加大号XL128片,铜牌会员,来自手机QQ购物,2016-06-29 18:34:13,一无既往的好用！一直用这个！很好，值得推荐！当然，京东的快递真是没得说！棒！
福建,垚很崇拜老婆,绿帮加大号XL128片,金牌会员,来自京东iPad客户端,2016-06-18 00:19:12,都买了二十多箱了，你说呢
,t***l,绿帮小号S164片,铜牌会员,来自微信购物,2016-07-03 20:24:41,很不错的东西
,1***2,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-06-10 14:34:11,一直信赖京东，不错正品，便宜
广东,l***n,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-05-27 11:05:08,好好 一直用的帮宝适
河北,j***嘟,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-06-29 22:58:51,物流速度快，下次继续购买，感谢京东快递
,星***鲨,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-13 15:18:54,干爽，舒服
,1***2,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-06-10 14:34:11,一直信赖京东，不错正品，便宜
广东,l***n,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-05-27 11:05:08,好好 一直用的帮宝适
河北,j***嘟,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-06-29 22:58:51,物流速度快，下次继续购买，感谢京东快递
,星***鲨,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-13 15:18:54,干爽，舒服
河南,1***7,绿帮加大号XL128片,银牌会员,来自京东iPhone客户端,2016-06-16 22:12:10,物流速度很快，晚上下单，第二天就到货，质量很好，孩子一直在用这个。
辽宁,l***8,绿帮加大号XL128片,钻石会员, ,2016-06-15 10:57:29,东西很好用和在超市买的一样好，很愉快的一次网购。
辽宁,l***8,绿帮中号M192片,钻石会员, ,2016-06-15 17:13:29,给宝宝用过才来评价的。不侧漏，屁屁也干爽
,j***4,绿帮加大号XL128片,铜牌会员,来自京东Android客户端,2016-05-25 14:02:01,用了这么久才来评价，一如既往地好用！
辽宁,l***8,绿帮大号L164片,钻石会员, ,2016-06-17 12:42:30,宝宝用这款很久了，吸水性好，透气性也不错
,小***具,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-13 15:17:38,适合宝宝娇嫩的肌肤
广东,H***猬,绿帮新生儿NB96片,金牌会员,来自京东Android客户端,2016-06-18 13:38:07,还不错，一次就囤了好多包。
广东,H***猬,绿帮小号S164片,金牌会员,来自京东Android客户端,2016-06-18 13:38:07,还不错，一次就囤了好多包。
,j***h,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-04 20:13:05,比棉柔的小一点点，厚度和棉柔的差不多，凑合用吧！
陕西,a***1,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-09 14:51:42,儿子一直用帮宝适的，吸水性好，只是怎么用了一会孩子会抓，上面就有一层丝在手上。
广东,a***0,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-07-02 12:14:30,东西还不错，凑够十个字！
福建,x***子,干爽拉拉裤中码M94片,银牌会员,来自京东Android客户端,2016-06-21 13:55:04,买小了，只能送人，不然穿起来还行
广东,j***3,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-05-04 15:17:27,啊哈哈摸摸哦哦弄
,7***6,绿帮中号M192片,银牌会员,来自京东iPhone客户端,2016-05-22 13:47:40,一直用有用帮宝适，但是干爽系列没有特级棉柔好用？
,q***l,绿帮小号S164片,铜牌会员,来自微信购物,2016-05-21 09:26:23,很划算，东西很好
,邱***显,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-04 22:50:39,小孩一直都在用，还不错
,j***f,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-04 14:00:00,大品牌  很好  一直在用
河南,j***9,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-06-10 10:14:37,是正品，宝宝用着不红屁股
重庆,z***3,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-06-13 08:48:43,宝贝一直用的这款，实惠，比实体店划算。物流也非常的快。好评！
广东,l***0,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-02 16:55:19,不错
,j***s,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 18:20:02,还是在京东上买便宜，质量有保证，物流更是不用说了。
,j***d,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-07-03 08:31:05,还不错  和我以前在超市买的一样  用了小屁屁没有红 下次还来
,r***6,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-08 13:24:31,吸收效果好
北京,梁***1,干爽拉拉裤加大码XL72片,银牌会员,来自微信购物,2016-05-06 10:05:58,物美价廉，好
,M***e,绿帮中号M192片,铜牌会员,来自手机QQ购物,2016-06-12 17:09:07,好，还会再来买
,方***儿,绿帮大号L164片,银牌会员, ,2016-06-10 10:30:52,一直在用这个，比街上的店钱买的好多了。
,兵***人,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-07-06 08:43:36,快递好快
,w***9,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-08 12:30:10,超薄、干爽
广东,w***5,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-16 15:57:57,每次都在京东买的，质量放心，价格也实惠！又快用完了，再买
,j***d,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 08:59:55,一直用这种，超实惠！
北京,n***u,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-19 21:37:44,宝宝一直用帮宝适，经济实惠，质量也很好，值得推荐
广东,j***n,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-10 16:37:04,还用设，一直相信京东，多快好省。
重庆,龍***尙,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-04 19:41:48,好
,j***p,绿帮中号M192片,铜牌会员,来自京东iPhone客户端,2016-07-05 19:45:56,一直用东西很好
,j***k,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-08 13:21:40,宝宝都在用这个品牌
,1***2,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-05-04 21:51:13,一直信赖京东，不错正品，便宜
,狼***狗,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-08 12:07:55,干爽、贴合
福建,垚很崇拜老婆,干爽拉拉裤加大码XL72片,金牌会员,来自京东iPad客户端,2016-06-18 00:19:12,这个裤裤也买了十几箱了，好用的哈
北京,s***8,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-17 12:52:06,一直买的 挺好
,j***5,绿帮加大号XL128片,铜牌会员,来自手机QQ购物,2016-06-29 18:34:13,一无既往的好用！一直用这个！很好，值得推荐！当然，京东的快递真是没得说！棒！
福建,垚很崇拜老婆,绿帮加大号XL128片,金牌会员,来自京东iPad客户端,2016-06-18 00:19:12,都买了二十多箱了，你说呢
,t***l,绿帮小号S164片,铜牌会员,来自微信购物,2016-07-03 20:24:41,很不错的东西
,1***2,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-06-10 14:34:11,一直信赖京东，不错正品，便宜
广东,l***n,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-05-27 11:05:08,好好 一直用的帮宝适
河北,j***嘟,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-06-29 22:58:51,物流速度快，下次继续购买，感谢京东快递
,星***鲨,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-13 15:18:54,干爽，舒服
河南,1***7,绿帮加大号XL128片,银牌会员,来自京东iPhone客户端,2016-06-16 22:12:10,物流速度很快，晚上下单，第二天就到货，质量很好，孩子一直在用这个。
辽宁,l***8,绿帮加大号XL128片,钻石会员, ,2016-06-15 10:57:29,东西很好用和在超市买的一样好，很愉快的一次网购。
辽宁,l***8,绿帮中号M192片,钻石会员, ,2016-06-15 17:13:29,给宝宝用过才来评价的。不侧漏，屁屁也干爽
,j***4,绿帮加大号XL128片,铜牌会员,来自京东Android客户端,2016-05-25 14:02:01,用了这么久才来评价，一如既往地好用！
辽宁,l***8,绿帮大号L164片,钻石会员, ,2016-06-17 12:42:30,宝宝用这款很久了，吸水性好，透气性也不错
,小***具,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-13 15:17:38,适合宝宝娇嫩的肌肤
,j***c,绿帮大号L164片,铜牌会员,来自京东iPhone客户端,2016-07-05 11:01:20,一直买的这个牌子，好用
,3***9,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-06-24 10:45:58,没有
浙江,j***s,绿帮加大号XL128片,银牌会员,来自京东Android客户端,2016-07-05 19:02:18,还可以
辽宁,w***9,绿帮中号M192片,钻石会员, ,2016-06-17 12:39:57,很好用，并且到达很快，赞质量杠杠的
山东,翟***7,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-05 06:56:46,质量很好 一直在京东上买 可以
辽宁,w***9,绿帮加大号XL128片,钻石会员, ,2016-06-15 10:57:01,质量是一样的，比超市的便宜点就是挺好的
浙江,w***y,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-04-15 13:16:01,宝宝一直用，算得上是物美价廉
,j***1,绿帮新生儿NB96片,钻石会员,来自微信购物,2016-06-18 10:05:43,很好，正品！！！！
上海,j***无,干爽拉拉裤加加大码XXL50片,金牌会员,来自京东iPhone客户端,2016-06-10 12:29:15,儿子用的，囤货
福建,b***3,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-07-05 09:46:13,贵在便宜好用，宝宝不红屁股
,j***8,绿帮大号L164片,铜牌会员,来自微信购物,2016-06-03 22:13:44,实惠，其他的就这样
,q***U,绿帮小号S164片,铜牌会员,来自微信购物,2016-07-05 13:00:04,东西不错发货及时
江苏,t***0,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-06-12 09:49:59,太方便了
广东,风***阵,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-19 23:16:41,活动买的，价格便宜
辽宁,e***8,绿帮中号M192片,钻石会员, ,2016-06-17 13:15:51,孩子用了不错，是正品，物美价廉
辽宁,e***8,绿帮大号L164片,钻石会员, ,2016-06-18 18:16:57,宝宝用起来也非常舒适，感觉挺好的
,随***8,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-07-04 20:14:51,第二购买宝贝了，质量真心很好，价钱也实惠，发货神速。
,c***t,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-05 21:37:40,不错
,j***u,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-06-09 15:27:58,一直是在京东买的
辽宁,e***8,绿帮加大号XL128片,钻石会员, ,2016-06-15 10:53:06,到货速度超快，是正品，不错很好用
广西,1***2,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-07-03 07:44:03,一直用这个，好用！
,j***i,绿帮新生儿NB96片,金牌会员,来自京东Android客户端,2016-06-11 10:00:03,帮别人买的，东西一直很好。
,j***b,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-05-21 22:19:47,还可以，用的挺方便！
辽宁,s***4,绿帮大号L164片,钻石会员, ,2016-06-17 13:23:56,价格实惠，宝宝用着也舒服，很好！是正品
辽宁,玉***冬,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-06-19 07:00:23,挺好
河北,就***买,绿帮中号M192片,钻石会员,来自京东iPhone客户端,2016-06-19 10:21:12,好 挺好用 物流快 上午买下午达
河北,就***买,绿帮中号M192片,钻石会员,来自京东iPhone客户端,2016-07-06 10:33:52,好 挺好用 物流快 上午买下午达
,甄***6,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-17 20:22:31,宝宝一直用的都是这一种，挺划算的。。
安徽,我***0,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-06 07:26:08,好的很。我喜欢。快递人特别负责
,w***4,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-07-05 21:10:14,还不错
辽宁,jd_zhaoyu870,绿帮小号S164片,银牌会员,来自京东iPad客户端,2016-06-15 07:37:04,感觉是假的，好次，孩子用的不舒服，一尿完硬呼呼，本身也不柔软，没其他牌子好
,189*****509_pok,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-04-14 18:25:13,好
,j***兵,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-02 05:10:46,好
山东,买***劲,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-05 09:27:41,在京东买的第三次了     非常好
,j***6,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-06-22 20:21:35,还行吧
江苏,可***-,绿帮加大号XL128片,金牌会员,来自京东iPhone客户端,2016-04-13 14:05:10,11111111111
广东,秦***宾,干爽拉拉裤加大码XL72片,金牌会员, ,2016-06-18 21:34:00,6666666666666666666
,4***m,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-04-29 00:51:00,还不错吧，用了一段时间，感觉还行
湖南,s***p,绿帮加大号XL128片,钻石会员,来自京东Android客户端,2016-07-05 12:56:33,不错，一直在用。
广东,梅***1,干爽拉拉裤加大码XL72片,银牌会员,来自京东Android客户端,2016-06-01 09:48:46,很好用，一直都在京东买
,j***e,绿帮中号M192片,银牌会员,来自京东iPhone客户端,2016-05-01 17:02:00,还可以....
,H***5,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-07-01 22:44:05,还没用，用了在说
广东,b***u,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-05-06 13:29:13,好
广东,舊***跡,绿帮新生儿NB96片,金牌会员,来自京东iPhone客户端,2016-07-02 22:00:41,好用，大品牌值得信赖
,j***e,绿帮中号M192片,银牌会员,来自京东iPhone客户端,2016-05-01 17:02:00,还可以....
,H***5,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-07-01 22:44:05,还没用，用了在说
广东,b***u,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-05-06 13:29:13,好
广东,舊***跡,绿帮新生儿NB96片,金牌会员,来自京东iPhone客户端,2016-07-02 22:00:41,好用，大品牌值得信赖
广东,g***4,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-06-16 14:50:09,终于有货了，便宜好用
广东,g***4,干爽拉拉裤加大码XL72片,银牌会员,来自京东Android客户端,2016-06-16 14:50:09,相信京东，终于有我宝宝穿码了
,j***8,干爽拉拉裤中码M94片,铜牌会员,来自京东Android客户端,2016-07-04 05:02:51,拉拉裤不好用，一点都不方便
,j***e,绿帮加大号XL128片,铜牌会员,来自微信购物,2016-07-02 08:19:56,物流非常给力、用完还来买。
甘肃,w***0,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-06-23 20:50:48,买错了
甘肃,w***0,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-25 18:22:30,挺好的
福建,最***6,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-19 17:32:40,帮朋友买的。。。。。
,j***k,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-07-05 11:15:31,好
,1***l,干爽拉拉裤加大码XL72片,银牌会员,来自京东iPhone客户端,2016-06-17 01:23:31,好用，买了很多次了！
广西,j***9,干爽拉拉裤中码M94片,银牌会员,来自京东iPhone客户端,2016-06-26 16:18:32,还可以
,j***d,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-26 09:19:36,好
,j***m,绿帮大号L164片,铜牌会员,来自手机QQ购物,2016-06-23 23:05:54,好用，又實惠
,j***無,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-15 00:38:27,还不错
,1***p,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-06-30 13:38:12,跟我在实体店买的没区别，但是便宜好多哦，下次还来
广东,荣***贵,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-07-06 03:52:19,好
湖北,郭***点,干爽拉拉裤加大码XL72片,钻石会员,来自京东iPhone客户端,2016-06-12 13:45:21,送货快方便，东西实惠不错
广东,蛙***虾,干爽拉拉裤大码L84片,金牌会员, ,2016-05-14 07:58:06,一直在用 质量还行
广东,蛙***虾,绿帮大号L164片,金牌会员, ,2016-05-14 07:56:50,一直在用 质量还行
河南,j***3,绿帮中号M192片,钻石会员,来自京东iPhone客户端,2016-05-26 13:45:40,一直信赖的卖家，是正品，比实体店便宜
,g***w,绿帮中号M192片,铜牌会员,来自微信购物,2016-06-21 13:02:07,很快很好！
天津,晰***1,绿帮小号S164片,金牌会员,来自京东iPhone客户端,2016-07-04 21:12:12,好
广东,高***1,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-07-03 09:46:53,好用！以后就用帮宝适的了
,j***v,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-07-05 03:24:27,神速！
四川,j***l,干爽拉拉裤加大码XL72片,银牌会员,来自京东Android客户端,2016-04-09 08:12:32,不错，包装也要重视！
重庆,冰***偶,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-05-18 10:01:44,好好 好好 好好
北京,j***多,干爽拉拉裤大码L84片,钻石会员,来自京东iPhone客户端,2016-05-03 17:57:29,满意，满意，满意，满意的。满意。
北京,j***多,干爽拉拉裤大码L84片,钻石会员,来自京东iPhone客户端,2016-05-24 15:10:29,好，不知道买了多少这个了，我的钞票在京东花了多少万了。
北京,j***多,干爽拉拉裤大码L84片,钻石会员,来自京东iPhone客户端,2016-07-02 07:41:06,一直用这个拉拉裤，还算满意吧。
浙江,j***a,绿帮加大号XL128片,钻石会员,来自京东Android客户端,2016-07-01 14:08:22,帮宝适  值得信赖  一直在这家买
甘肃,银筷子,绿帮小号S164片,银牌会员,来自京东iPhone客户端,2016-07-05 20:11:51,物流相当给力！东西用着也不错！
,j***u,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-05-14 18:58:25,与实体店铺一样，很好用
广东,y***3,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-07-01 23:06:31,还可以。。。。。。。。。。。。。。
,正***人,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-16 23:37:09,还，！？~？。。。，挺。？。。，不错，！；。。。的唉
,l***楠,干爽拉拉裤加大码XL72片,铜牌会员,来自微信购物,2016-06-17 13:31:20,还可以，号码偏小
新疆,j***o,绿帮新生儿NB96片,金牌会员,来自京东Android客户端,2016-07-04 01:14:00,已经用上了，挺好用的，还划算，挺干爽的，好实惠
,B***宝,干爽拉拉裤加大码XL72片,铜牌会员,来自微信购物,2016-06-01 11:14:24,不漏尿，宝宝用着很舒服
,j***m,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-04-16 17:37:52,好。。。。。。。。。。。
广东,x***2,干爽拉拉裤加大码XL72片,钻石会员,来自京东Android客户端,2016-07-02 09:39:59,划算，好用
,M***n,干爽拉拉裤大码L84片,银牌会员,来自微信购物,2016-07-04 14:24:16,搞活动买的，太划算了，希望经常搞活动
,j***m,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-05-16 08:34:07,好。。。。。。。。。。。
广东,j***6,干爽拉拉裤加加大码XXL50片,金牌会员,来自京东iPhone客户端,2016-06-18 02:04:29,一直都在京东买.
