userProvince,name,prosize_col,level,mobile,commtime,comments
浙江,y***g,加大号XL128片,金牌会员, ,2015-04-19 22:11:52,非常满意，买了好几次了
安徽,啊JO,中号M192片,铜牌会员,来自京东iPad客户端,2015-04-20 04:18:50,包装完整，看上去不错。还没有用，先囤着。京东快递很给力，快递师傅人特别好，100个赞。
广东,L***静,小号S152片,钻石会员,来自京东Android客户端,2015-04-17 08:15:17,正品，很优惠！下次继续买！！！
山西,慢***鼠,加大号XL72片,钻石会员,来自京东Android客户端,2015-04-07 18:35:55,挺好！现在帮宝适做工比以前好，漏吸水颗粒的情况不多了！
广东,S***e,大号L84片,钻石会员,来自京东Android客户端,2015-03-15 22:54:37,湿纸巾赠品不错！但拉拉裤比起妈咪宝贝小内裤容量和防漏确实有差距。依旧给好评吧&hellip;&hellip;
吉林,小猪宝贝0646,加大号XL128片,银牌会员,来自京东Android客户端,2014-11-26 10:34:06,买过好多次了，一直就是这个牌子
,张丽601,加大号XL128片,铜牌会员,来自微信购物,2014-12-05 13:19:05,挺好用的。
,g***5,加大号XL128片,金牌会员,来自京东Android客户端,2015-01-20 18:59:54,正品，宝贝一直在用，很柔软，宝宝没有不适感。
,j***z,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-04-18 20:02:32,买了好多次了，一直在用放心
,j***6,干爽拉拉裤加加大码XXL50片,银牌会员,来自京东Android客户端,2016-07-06 10:33:48,一直都用挺好的，送货也很快，不错！
,j***u,干爽拉拉裤加大码XL72片,银牌会员,来自京东iPhone客户端,2016-07-02 10:30:14,很好！
,j***e,绿帮小号S164片,钻石会员,来自京东Android客户端,2016-07-03 14:20:25,不知道多少次购买
,tpcHaTZULKaq,干爽拉拉裤中码M94片,银牌会员,来自微信购物,2016-06-10 18:48:14,不怎么好，吸收力不强
湖南,h***m,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-06-15 18:40:36,发货快，包装完整，质量很好，非常满意。
,j***o,干爽拉拉裤大码L84片,铜牌会员,来自京东Android客户端,2016-07-02 13:29:14,物流很快，宝贝很好
天津,d***5,绿帮大号L164片,钻石会员, ,2016-07-06 10:16:54,帮宝适大品牌，值得信赖。
,段***4,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-06-16 20:59:03,好评。。。。。。。。  。。。。。
四川,y***8,绿帮小号S164片,银牌会员,来自京东iPhone客户端,2016-06-29 17:28:25,这次买的尿不湿跟我以前用的帮宝适不一样，感觉非常不好，不知道是不是正品？说好的正品也没有送。一直信赖京东，这次有点失望。
广东,C***b,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-14 01:56:39,??
广东,无心_CSU,绿帮大号L164片,钻石会员,来自京东iPad客户端,2016-07-05 20:42:07,不错，一直在京东购买。
,段***4,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-14 11:47:17,好评。。。。。。。
广东,j***i,干爽拉拉裤大码L84片,钻石会员,来自京东iPhone客户端,2016-06-22 13:26:31,说实话，一般般的吧
,j***i,干爽拉拉裤加大码XL72片,铜牌会员,来自京东iPhone客户端,2016-07-06 01:41:04,物流很快
,j***j,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-05 12:27:51,物流很快，东西很好
广东,j***4,绿帮中号M192片,金牌会员,来自京东iPhone客户端,2016-07-04 22:43:00,第二次购买啦。划算很多的
,天***邻,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-06-28 09:19:13,还没打开，好像换包装了
,丶***焰,绿帮小号S164片,银牌会员,来自京东iPhone客户端,2016-06-19 19:09:35,太差了，硬，宝宝的pp都破皮了，法克。
四川,水***东,绿帮加大号XL128片,金牌会员,来自京东iPhone客户端,2016-06-16 23:18:28,东西不错&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;
江苏,扬***天,绿帮新生儿NB96片,钻石会员, ,2016-05-27 15:06:22,很好，是正品，价格便宜。有活动再买。
,wKGDaetAKPpT,绿帮大号L164片,银牌会员,来自微信购物,2016-07-03 20:49:13,相当满意，我宝不怕红屁股了
广西,s***3,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-06-14 17:27:29,比超市便宜多了，正品
,1***p,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-05 12:47:19,好，好，好
,j***g,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-06-14 11:38:45,很好的6艘哦7斤黑奴糯米鼎诺7名你们
,j***s,绿帮大号L164片,铜牌会员,来自手机QQ购物,2016-07-05 16:15:53,看着还好。就是才买头一次，怎么就涨价了
江苏,亲***a,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-05-12 23:16:46,便宜很多，宝宝30个月，一直用的这个，一天一片，挺好的
,w***n,干爽拉拉裤大码L84片,银牌会员,来自京东Android客户端,2016-07-03 23:31:53,。
,牛***俊,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-04-30 19:05:50,挺好的  用了宝宝不会红屁股
,m***5,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-07-02 22:18:39,帮宝适怎么说都是大牌子啊，怎么味道这么重？！有人可以解释一下吗？
,燕***O,绿帮大号L164片,钻石会员, ,2016-06-19 00:27:53,送货快，京东比T宝买东西还快，网络够广。
广东,j***3,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-06-06 21:18:58,帮别人买的，因为大宝一直用拉拉裤的这个所以很放心的推荐购买
江苏,机***孩,绿帮加大号XL128片,银牌会员,来自京东Android客户端,2016-06-09 21:03:36,还好
,福***橼,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-07-05 16:43:29,一直用帮宝适，很不错，物流很给力，一天就收到了，好评好评！
,安***华,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-07-04 17:20:30,买好几次了。还是帮宝适最适合孩子，价钱也实惠
云南,z***7,绿帮小号S164片,金牌会员,来自京东Android客户端,2016-06-26 23:27:17,物流超给力，价格便宜，性价比高，比实体店划算
,燕***O,绿帮加大号XL128片,钻石会员, ,2016-06-19 00:23:52,朋友说不错，比起超市实惠多了。
,s***乐,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-29 17:07:05,很好，价格比实体店实惠多了！到货后就给宝宝用了，感觉挺好的。
广东,j***t,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-06-03 11:50:22,好
,开***1,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-07-05 06:11:41,物流快，从宝宝出生一直用，自营的放心！
,燕***O,绿帮中号M192片,钻石会员, ,2016-06-19 00:00:22,帮别人买的，一直用这个牌子的。
贵州,2***金,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-07-02 08:29:43,我已用了几片，很好。
,j***j,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-04 09:11:54,一直用这个牌子，这是第二次购买！很实惠！宝宝用的非常好！
,j***x,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-09 15:32:01,还不错
广东,j***1,绿帮加大号XL128片,银牌会员,来自京东Android客户端,2016-07-01 23:30:07,配送员服务好，商品是正品，一如既往的好。下次还会光谷。
,5***丽,干爽拉拉裤中码M94片,铜牌会员,来自京东Android客户端,2016-06-14 23:28:52,东西实惠，物流很快，最好的是配送员太好了，一直送到我家！好评～
广东,q***1,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-07-05 21:53:39,一直信赖的牌子，一字好，两个字很好，京东快递一如既往的支持，很快，服务也是第一
四川,j***8,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-07-05 21:30:35,好
广东,b***_,干爽拉拉裤加加大码XXL50片,金牌会员, ,2016-06-20 16:10:13,不错不错，一向都使用这个牌子，一直挺好的
广东,萌***H,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-05-15 22:12:59,尿片一般，很厚
,j***p,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-06-24 09:10:08,一般吧  还算可以
广东,陈海宁190325,绿帮小号S164片,铜牌会员,来自京东iPhone客户端,2016-04-11 22:13:48,挺好用的
,d***U,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-07-03 18:17:12,很好，宝宝用着不错&hellip;&hellip;
,j***m,干爽拉拉裤加大码XL72片,银牌会员,来自京东Android客户端,2016-07-02 10:35:25,满意
,j***k,干爽拉拉裤中码M94片,银牌会员,来自京东iPhone客户端,2016-07-05 13:40:55,不错
广东,l***n,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-05-15 09:12:47,ok
,j***k,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-06 10:41:11,其它没什么，一直用这个，不过最近外包装不行！都是坏的。
广东,j***8,绿帮中号M192片,铜牌会员,来自京东Android客户端,2016-06-19 14:37:13,不错，宝宝半岁后就一直用这款，夏天用不那么热，又实惠。
广东,j***z,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-12 19:59:44,部分尿片上面有尿显，部分没有，什么情况，假货吗？
广东,j***n,绿帮中号M192片,金牌会员,来自京东iPhone客户端,2016-07-05 22:30:02,满意
广东,飘***遥,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-13 15:33:16,东西不错，以后会再购买的
广东,涛***9,绿帮小号S164片,金牌会员,来自京东Android客户端,2016-07-02 08:45:26,还好不错
广东,梧***凉,干爽拉拉裤大码L84片,金牌会员,来自京东Android客户端,2016-07-02 13:49:08,好
,g***t,干爽拉拉裤中码M94片,铜牌会员,来自微信购物,2016-07-05 14:13:32,京东就是快啊大赞！！！！
,j***子,绿帮小号S164片,银牌会员,来自京东iPhone客户端,2016-06-20 09:30:09,超级好用，又来买了
,森***儿,绿帮小号S164片,铜牌会员,来自京东iPhone客户端,2016-06-15 20:39:27,味道很大  京东好在送货快坏在价格变得大 担心假货
广东,h***g,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-16 16:29:00,不错，囤货中！
广东,j***f,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-01 22:56:45,行，
广东,K***少,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-07-02 20:45:57,可以
,j***5,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-01 14:29:35,很好，是正品
福建,m***哥,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-07-02 23:08:02,宝宝一直穿这个牌子的纸尿裤，都挺好的。
,蝸***爬,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-07-01 17:12:21,和实物一样。
广东,G***n,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-05 22:40:06,一直买这个!!!!!
,nfZJziVISddL,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-06-20 07:50:00,好好好好好好
,仲***妹,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-04-18 18:19:33,挺好的
,E***h,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-05-01 11:57:23,很喜欢，背着宝宝挺舒服
,j***z,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-05-28 19:02:32,很好的产品，不是第一次买了，物流业很快！
四川,s***g,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-01 22:59:53,一如既往的支持&hellip;很好用&hellip;
北京,春***香,绿帮加大号XL128片,钻石会员, ,2016-06-14 19:36:52,质量好， 发货快，一直选 京东就对了。
,j***x,绿帮加大号XL128片,铜牌会员,来自京东Android客户端,2016-07-01 22:11:34,给宝贝一直用的这个牌子的，感觉挺好的
广东,我***想,绿帮小号S164片,金牌会员,来自京东Android客户端,2016-07-01 01:45:51,很好，便宜？。。。。。
天津,j***缆,干爽拉拉裤加加大码XXL50片,钻石会员,来自京东Android客户端,2016-06-18 23:58:18,帮宝适也是非常不错的，宝宝用还是比较放心的
福建,秦***p,绿帮加大号XL128片,钻石会员, ,2016-06-14 17:14:44,不错，质量很好，京东自营的放心。
安徽,L***C,绿帮加大号XL128片,钻石会员,来自京东Android客户端,2016-07-01 00:19:26,尿不湿我用了那么多品牌，我觉得帮宝适真的好用，别的牌子的缺点不说，这个牌子很好，你也试试就知道它的好?
广东,w***9,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-07-05 03:37:46,好快，便宜实惠！。。。。。。
,2***8,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-07-02 14:43:57,好
,j***z,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-04-18 20:02:32,买了好多次了，一直在用放心
,j***6,干爽拉拉裤加加大码XXL50片,银牌会员,来自京东Android客户端,2016-07-06 10:33:48,一直都用挺好的，送货也很快，不错！
,j***z,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-06-03 14:14:44,一直在用沒有出现过过敏
,j***n,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-05-14 13:28:45,我家宝宝一直用这个，很不错
,j***i,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-06-28 10:33:07,还可以。经济又实惠
广东,a***凉,绿帮小号S164片,钻石会员,来自京东iPhone客户端,2016-07-03 20:20:54,好评，比超市便宜
,j***a,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-06-10 10:48:26,质量很好。
,j***q,干爽拉拉裤大码L84片,铜牌会员,来自京东Android客户端,2016-07-05 19:30:03,东东看的很不错哦?
,V***N,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-28 21:47:05,还不错
,1***p,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-07-05 13:19:02,快递员态度非常好，很满意
广东,j***4,干爽拉拉裤中码M94片,金牌会员,来自京东iPhone客户端,2016-07-05 22:03:59,不错
四川,L***1,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-04-15 22:57:37,帮别人买，反应好，评价晚了些
湖南,回***T,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-15 18:27:33,宝贝比在商场买便宜多了，非常不错。
贵州,瘦***了,绿帮中号M192片,银牌会员,来自京东Android客户端,2016-04-19 12:05:46,很好很好    质量还可以吧
,央***兮,绿帮大号L164片,银牌会员, ,2016-06-18 22:53:59,111
贵州,瘦***了,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-03 23:25:06,这牌子的用起挺好的   都用半年了
河北,g***3,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-06-27 18:29:20,挺好
北京,r***1,绿帮小号S164片,银牌会员, ,2016-06-15 08:18:57,价廉物美 宝贝一直在用这个牌子，很满意。
,j***s,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-07-06 08:24:25,第二次购买了，很好用
,你若懂范,绿帮中号M192片,铜牌会员,来自京东iPhone客户端,2016-07-05 22:25:58,说好的多送四片呢？感觉跟前几次买的不太一样，以前箱子上都有京东的胶带，现在是透明的？一点看不出来是京东的货
湖南,回***T,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-04-12 20:39:50,发货速度神速，包装很严实，质量绝对好，下次还会再来。
,Z***W,干爽拉拉裤大码L84片,银牌会员,来自微信购物,2016-07-04 19:06:49,好用。。。。
,Z***1,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-06-18 23:04:28,第二次购买，很好！
,x***A,绿帮大号L164片,铜牌会员,来自微信购物,2016-05-15 16:03:58,第一次在京东买纸尿裤非常满意的一次购物下次继续光顾快递很给力
福建,j***a,绿帮大号L164片,铜牌会员,来自京东iPhone客户端,2016-07-02 12:54:10,一直在京东买，还不错，方便
,李***_,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-02 11:49:44,大品牌品质有保障，满意
河北,a***i,干爽拉拉裤中码M94片,银牌会员,来自京东iPhone客户端,2016-05-14 20:36:30,这次买的不太好，有味道起坨
,j***4,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-06-26 15:00:21,??
,j***q,干爽拉拉裤大码L84片,铜牌会员,来自京东Android客户端,2016-07-06 10:31:32,好评五星
黑龙江,上***7,绿帮加大号XL128片,钻石会员, ,2016-06-14 17:46:35,还可以，质量不错，大品牌。
河北,j***虎,干爽拉拉裤中码M94片,铜牌会员,来自京东Android客户端,2016-07-05 07:20:36,还没用。看着不错
广东,j***p,绿帮大号L164片,金牌会员, ,2016-06-18 22:20:24,一直都用帮宝适的产品！质量值得信赖！希望买的时候会遇上搞促销!呵呵！
,P***C,绿帮加大号XL128片,金牌会员,来自京东iPhone客户端,2016-07-05 16:06:46,我家龙凤胎宝宝一直用这个牌子的！很好用！比别的牌子的都好
北京,拇***国,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-14 22:57:10,好好好
广东,豆***6,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-04-29 12:16:52,一直都在用，好，送货快
,j***r,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-07-05 20:53:41,挺好的，适合夏天用
安徽,浅***风,绿帮加大号XL128片,银牌会员,来自京东Android客户端,2016-06-26 21:58:14,实惠有用，质量与实体店差不多，很好
广东,罗***7,绿帮中号M192片,银牌会员,来自微信购物,2016-06-21 19:12:32,还可以，新包装是比我在超市买的薄，现在夏天用刚好，还有尿液显示线。又经济实惠，最重要的是BB不过敏
,j***9,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-05-14 12:41:29,第四次买了
,j***n,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-05 15:26:34,挺好，又快！
,j***1,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-06-20 03:54:14,比好奇的大不错
广东,j***0,绿帮加大号XL128片,金牌会员,来自京东iPhone客户端,2016-05-17 20:46:17,很实惠，质量都不错，孩子穿了也没什么不适。
广西,c***3,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-06-23 19:31:58,儿子喜欢穿，买了很多包了。
江苏,x***l,绿帮加大号XL128片,金牌会员,来自京东iPhone客户端,2016-06-30 23:22:52,好，一直用这个
,j***g,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-06 00:06:07,值得赞一个
山东,b***7,绿帮加大号XL128片,钻石会员, ,2016-06-15 16:18:53,商品质量很好，正品
,j***j,干爽拉拉裤加大码XL72片,银牌会员,来自京东iPhone客户端,2016-07-05 16:38:01,还行吧，还行吧，还行吧。
四川,泡沫魂,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-07-04 19:14:10,夏天用很合适，很薄！也比较能吸尿！一整夜一片就可以了，用两片也划算哈！价格很实惠！
北京,超***R,干爽拉拉裤大码L84片,钻石会员,来自京东iPhone客户端,2016-06-29 22:46:55,还是不错的
上海,j***燕,绿帮中号M192片,金牌会员,来自京东Android客户端,2016-07-06 08:33:54,一直在用哦
山东,唤***涌,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-06-08 21:03:41,喜欢 美丽 大方，太喜欢了，送个他了
北京,s***磊,干爽拉拉裤大码L84片,银牌会员,来自京东iPhone客户端,2016-05-08 09:45:53,质量还不错，下次再买，用着也方便。
,x***7,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-07-02 10:33:01,非常愉快一次购物。下单第二天就到了！
,j***p,绿帮大号L164片,银牌会员,来自京东iPhone客户端,2016-07-02 14:02:40,很好
湖北,芳***苹,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-06-08 20:35:06,绝对的正品哦，喜欢中。谢谢
广东,v***i,绿帮小号S164片,钻石会员,来自京东iPhone客户端,2016-07-04 00:59:31,还可以 满干爽
江苏,兰***荷,绿帮加大号XL128片,银牌会员,来自京东iPhone客户端,2016-04-14 19:35:07,活动价还是很不错滴
江西,j***q,绿帮小号S164片,铜牌会员,来自京东Android客户端,2016-06-13 11:34:36,宝宝用的不红屁屁&hellip;&hellip;一直都在你家买下去
湖南,j***n,绿帮加大号XL128片,金牌会员, ,2016-05-18 22:58:00,一直买这个牌子，很不错，很喜欢，信得过
,j***p,绿帮加大号XL128片,银牌会员,来自京东Android客户端,2016-07-04 17:39:41,我提交了要开发票，为什么没有发给给我
湖南,j***n,绿帮加大号XL128片,金牌会员, ,2016-06-06 09:50:50,一直买这个牌子，很不错，很喜欢，信得过
江苏,叶***1,绿帮大号L164片,金牌会员,来自京东Android客户端,2016-06-18 19:47:50,一直用白帮，最近用的比较多就换绿帮了，换的勤也一样
上海,flydog1979,绿帮大号L164片,钻石会员,来自京东Android客户端,2016-06-19 18:13:38,感觉一般般，不如日本牌子。
江苏,H***6,绿帮大号L164片,银牌会员,来自京东Android客户端,2016-07-05 09:06:04,棒棒哒，我家宝宝用了很清爽，超薄的
海南,冉***5,绿帮小号S164片,银牌会员,来自京东Android客户端,2016-07-05 18:43:40,挺不错，一直都在东京买的尿不湿，湿纸巾也是！发货快！比外面便宜很多！
北京,张***么,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-04-11 22:32:33,。。。。。。。。。。。。。。。
北京,m***o,绿帮中号M192片,钻石会员,来自京东iPhone客户端,2016-07-04 10:59:09,很好用，挺薄的，京东太便宜了，赞
,匡***志,绿帮新生儿NB96片,钻石会员,来自京东Android客户端,2016-07-05 11:40:29,还不错宝宝一直用帮宝适的好评好评好评好评好评
广东,流***待,绿帮加大号XL128片,钻石会员,来自京东iPhone客户端,2016-07-02 22:47:17,挺好的，多次购买，方便快捷。
上海,祸***0,绿帮加大号XL128片,钻石会员, ,2016-06-13 15:43:45,很喜欢，正品
,j***l,干爽拉拉裤加大码XL72片,铜牌会员,来自京东Android客户端,2016-06-28 20:13:35,挺好的
,j***l,干爽拉拉裤大码L84片,铜牌会员,来自京东Android客户端,2016-06-28 20:13:35,挺好的
,pLbuANmetXvC,绿帮小号S164片,铜牌会员,来自微信购物,2016-07-06 06:25:32,第一次买，挺好的，物流也很好
黑龙江,z***9,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-06-13 10:38:01,挺好的
北京,j***v,绿帮大号L164片,金牌会员, ,2016-07-03 12:57:50,两次购买的包装不一样，日期批号字体不一样，纸尿裤也不一样（第一次买的有黄色尿湿线，第二次买的没有，同是L号的，两次购买间隔1个半月。好膈应）。快递很快，东西不满意，不满意！
河北,辛***娜,干爽拉拉裤加大码XL72片,银牌会员,来自京东iPhone客户端,2016-06-08 21:29:00,一直用的这个牌子，都买好几次了
河北,小***男,绿帮大号L164片,金牌会员,来自京东iPhone客户端,2016-05-05 08:52:08,一直用这个牌子，好用
,j***z,绿帮大号L164片,铜牌会员,来自微信购物,2016-07-04 10:31:03,非常好，下次就在这家买了
北京,j***1,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-06-22 07:54:18,常客
黑龙江,小***0,干爽拉拉裤加大码XL72片,金牌会员,来自京东iPhone客户端,2016-07-05 17:00:46,不错！拿回来就用了！给予好评！还会继续购买
江西,l***7,干爽拉拉裤加加大码XXL50片,钻石会员,来自京东iPhone客户端,2016-04-07 12:35:30,一直购买这个牌子，一如既往的好！
江西,l***7,干爽拉拉裤加加大码XXL50片,钻石会员,来自京东iPhone客户端,2016-06-16 10:23:31,一直购买这个牌子，一如既往的好！
广东,1***m,绿帮加大号XL128片,金牌会员, ,2016-05-05 09:25:44,非常好 只是这次想换个品牌试试看
,v***e,绿帮加大号XL128片,银牌会员,来自微信购物,2016-06-19 10:42:16,这次快递有点慢，没之前快
,姓***子,绿帮加大号XL128片,金牌会员, ,2016-06-13 15:02:43,包装好 质量也好 我很喜欢
贵州,6***9,绿帮新生儿NB96片,银牌会员,来自京东Android客户端,2016-07-03 10:35:46,比较实惠
广东,h***g,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-16 16:29:00,不错，囤货中！
广东,j***f,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-01 22:56:45,行，
广东,K***少,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-07-02 20:45:57,可以
,j***5,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-01 14:29:35,很好，是正品
福建,m***哥,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-07-02 23:08:02,宝宝一直穿这个牌子的纸尿裤，都挺好的。
,蝸***爬,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-07-01 17:12:21,和实物一样。
广东,G***n,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-05 22:40:06,一直买这个!!!!!
,nfZJziVISddL,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-06-20 07:50:00,好好好好好好
,仲***妹,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-04-18 18:19:33,挺好的
,E***h,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-05-01 11:57:23,很喜欢，背着宝宝挺舒服
广东,h***g,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-16 16:29:00,不错，囤货中！
广东,j***f,干爽拉拉裤加大码XL72片,金牌会员,来自京东Android客户端,2016-06-01 22:56:45,行，
广东,K***少,绿帮大号L164片,钻石会员,来自京东iPhone客户端,2016-07-02 20:45:57,可以
,j***5,绿帮大号L164片,铜牌会员,来自京东Android客户端,2016-07-01 14:29:35,很好，是正品
福建,m***哥,干爽拉拉裤大码L84片,钻石会员,来自京东Android客户端,2016-07-02 23:08:02,宝宝一直穿这个牌子的纸尿裤，都挺好的。
,蝸***爬,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-07-01 17:12:21,和实物一样。
广东,G***n,绿帮加大号XL128片,金牌会员,来自京东Android客户端,2016-07-05 22:40:06,一直买这个!!!!!
,nfZJziVISddL,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-06-20 07:50:00,好好好好好好
,仲***妹,绿帮新生儿NB96片,铜牌会员,来自京东Android客户端,2016-04-18 18:19:33,挺好的
,E***h,绿帮新生儿NB96片,铜牌会员,来自微信购物,2016-05-01 11:57:23,很喜欢，背着宝宝挺舒服
广东,h***g,干爽拉拉裤大码L84片,金牌会员,来自京东iPhone客户端,2016-06-16 16:29:00,不错，囤货中！
